year,station,total_crime,contact_related_crime,crimes_against_property,other_serious_crimes,contact_crime,crimes_dependent_on_police_action_for_detention,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated,year_numeric,post,did
2019/2020,boitekong,2833,219,684,417,1390,342,2491,6.529418838262226,7.237778191923443,5.393627546352362,6.035481432524756,5.8377304471659395,7.949444420250626,7.820840879907344,0,2019,0,0
2019/2020,boons,121,7,53,29,33,6,115,3.9889840465642745,3.5263605246161616,2.0794415416798357,3.4011973816621555,1.9459101490553132,4.804021044733257,4.7535901911063645,0,2019,0,0
2019/2020,lethabong,476,51,100,86,249,41,435,4.61512051684126,5.521460917862246,3.9512437185814275,4.465908118654584,3.7376696182833684,6.1675164908883415,6.077642243349034,0,2019,0,0
2019/2020,marikana,1101,76,269,319,400,113,988,5.598421958998375,5.993961427306569,4.343805421853684,5.768320995793772,4.736198448394496,7.004881989712859,6.8966943316227125,1,2019,0,0
2019/2020,phokeng,2325,133,787,469,950,119,2206,6.669498089857879,6.85751406254539,4.897839799950911,6.152732694704104,4.787491742782046,7.75190533307861,7.699389406256737,0,2019,0,0
2019/2020,rustenburg,7685,392,2671,2353,1870,791,6894,7.890582534656536,7.534228326274089,5.973809611869261,7.763871287820222,6.674561391814426,8.94715577112479,8.838551790227402,0,2019,0,0
2019/2020,tlhabane,2384,155,699,408,829,448,1936,6.551080335043404,6.721425700790643,5.049856007249537,6.013715156042802,6.1070228877422545,7.776954403322442,7.5688956634069955,0,2019,0,0
2020/2021,bethanie,389,35,130,56,172,31,358,4.875197323201151,5.153291594497779,3.58351893845611,4.04305126783455,3.4657359027997265,5.966146739123692,5.883322388488279,0,2020,0,0
2020/2021,boitekong,2403,193,542,417,1332,112,2291,6.297109319933935,7.195187320178709,5.267858159063328,6.035481432524756,4.727387818712341,7.784889295655098,7.73718007783463,0,2020,0,0
2020/2021,boons,133,3,54,37,33,9,124,4.007333185232471,3.5263605246161616,1.3862943611198906,3.6375861597263857,2.302585092994046,4.897839799950911,4.8283137373023015,0,2020,0,0
2020/2021,lethabong,393,37,98,68,216,11,382,4.59511985013459,5.37989735354046,3.6375861597263857,4.23410650459726,2.4849066497880004,5.976350909297934,5.948034989180646,0,2020,0,0
2020/2021,marikana,1011,84,255,281,386,89,922,5.545177444479562,5.958424693029782,4.442651256490317,5.641907070938114,4.499809670330265,6.919683849847411,6.827629234502852,1,2020,0,0
2020/2021,phokeng,1999,153,654,406,880,59,1940,6.484635235635252,6.78105762593618,5.0369526024136295,6.008813185442595,4.0943445622221,7.600902459542082,7.57095858316901,0,2020,0,0
2020/2021,rustenburg,5995,319,2020,2086,1545,344,5651,7.611347717403621,7.343426229147367,5.768320995793772,7.643482907077201,5.84354441703136,8.698847859222488,8.639764743804419,0,2020,0,0
2020/2021,tlhabane,2234,187,733,308,813,380,1854,6.598509028614515,6.70196036600254,5.236441962829949,5.733341276897746,5.942799375126701,7.711996507047669,7.5256399750415355,0,2020,0,0
2021/2022,bethanie,520,59,105,95,219,101,419,4.663439094112067,5.393627546352362,4.0943445622221,4.564348191467836,4.624972813284271,6.255750041753367,6.040254711277414,0,2021,0,0
2021/2022,boitekong,2928,244,641,495,1605,187,2741,6.464588303689961,7.381501894506707,5.501258210544727,6.206575926724928,5.236441962829949,7.982416346827733,7.91644286012226,0,2021,0,0
2021/2022,boons,163,12,68,45,40,10,153,4.23410650459726,3.713572066704308,2.5649493574615367,3.828641396489095,2.3978952727983707,5.099866427824199,5.0369526024136295,0,2021,0,0
2021/2022,lethabong,547,44,119,87,313,28,519,4.787491742782046,5.749392985908253,3.8066624897703196,4.477336814478207,3.367295829986474,6.306275286948016,6.253828811575473,0,2021,0,0
2021/2022,marikana,1165,114,239,279,526,121,1044,5.480638923341991,6.267200548541362,4.74493212836325,5.634789603169249,4.804021044733257,7.061334366910438,6.951772164398911,1,2021,0,0
2021/2022,phokeng,2414,179,670,515,1103,126,2288,6.508769136971682,7.00669522683704,5.19295685089021,6.246106765481563,4.844187086458591,7.789454566086673,7.735870319952567,0,2021,0,0
2021/2022,rustenburg,6920,310,2163,2376,1895,486,6434,7.679713639966372,7.547501682814967,5.739792912179234,7.773594467360194,6.18826412308259,8.842315546841863,8.769507120030227,0,2021,0,0
2021/2022,tlhabane,2601,189,615,423,1006,557,2044,6.423246963533519,6.914730892718563,5.247024072160486,6.049733455231958,6.324358962381311,7.86403565907245,7.623153068476902,0,2021,0,0
2022/2023,bethanie,689,37,113,136,245,195,494,4.736198448394496,5.5053315359323625,3.6375861597263857,4.919980925828125,5.278114659230517,6.536691597591305,6.20455776256869,0,2022,0,0
2022/2023,boitekong,3375,269,625,577,1921,252,3123,6.439350371100098,7.561121589530238,5.598421958998375,6.359573868672378,5.53338948872752,8.124446855715847,8.046869510959576,0,2022,0,0
2022/2023,boons,120,8,55,16,37,12,108,4.02535169073515,3.6375861597263857,2.1972245773362196,2.833213344056216,2.5649493574615367,4.795790545596741,4.6913478822291435,0,2022,0,0
2022/2023,lethabong,657,44,150,100,374,33,624,5.017279836814924,5.926926025970411,3.8066624897703196,4.61512051684126,3.5263605246161616,6.489204931325317,6.437751649736401,0,2022,0,0
2022/2023,marikana,1216,118,256,323,514,123,1093,5.54907608489522,6.244166900663736,4.77912349311153,5.780743515792329,4.820281565605037,7.104144092987527,6.9975959829819265,1,2022,0,0
2022/2023,phokeng,2792,196,834,503,1372,83,2709,6.727431724850855,7.224753405767971,5.2832037287379885,6.222576268071369,4.430816798843313,7.934871565945177,7.904703913873747,0,2022,0,0
2022/2023,rustenburg,7662,356,2459,2722,1962,519,7143,7.807916628926408,7.5822291942764615,5.877735781779639,7.909489492673759,6.253828811575473,8.944158830970403,8.874028122556336,0,2022,0,0
2022/2023,tlhabane,3771,180,584,1168,1195,824,2947,6.371611847231857,7.086737934510577,5.198497031265826,7.063903961472068,6.715383386334681,8.235360643753348,7.988882253309227,0,2022,0,0
